epoch,phase,train_loss,train_accuracy,validation_loss,validation_accuracy,learning_rates
1,head,1.2821140834263394,0.39285714285714285,1.0824896097183228,0.6428571428571429,0.00100000
2,head,0.9757366725376674,0.7214285714285714,0.8826133693967547,0.8214285714285714,0.00100000
3,head,0.7686611226626805,0.8357142857142857,0.7651240655354091,0.8214285714285714,0.00100000
4,head,0.6700909256935119,0.8785714285714286,0.6843068599700928,0.7857142857142857,0.00100000
5,head,0.6423585517065865,0.8857142857142857,0.649262045110975,0.75,0.00100000
6,head,0.5113934516906739,0.9428571428571428,0.6125082118170602,0.7857142857142857,0.00100000
7,head,0.491104120867593,0.9357142857142857,0.588910528591701,0.8214285714285714,0.00100000
8,head,0.4716718350137983,0.9357142857142857,0.557885868208749,0.8214285714285714,0.00100000
9,fine_tune,0.4628190951687949,0.9428571428571428,0.5551211833953857,0.7857142857142857,0.00001000|0.00010000
10,fine_tune,0.4038442100797381,0.9571428571428572,0.5402309383664813,0.8571428571428571,0.00001000|0.00010000
11,fine_tune,0.41329271963664466,0.9642857142857143,0.5504222341946193,0.8214285714285714,0.00001000|0.00010000
12,fine_tune,0.40922729458127705,0.9428571428571428,0.5283717342785427,0.8214285714285714,0.00001000|0.00010000
13,fine_tune,0.4481598905154637,0.9357142857142857,0.5246779237474714,0.8214285714285714,0.00001000|0.00010000
14,fine_tune,0.4121480430875506,0.9642857142857143,0.5344177995409284,0.8214285714285714,0.00001000|0.00010000
15,fine_tune,0.4094279076371874,0.9357142857142857,0.5218982696533203,0.8571428571428571,0.00001000|0.00010000
16,fine_tune,0.396531799861363,0.9571428571428572,0.5261078817503793,0.8214285714285714,0.00001000|0.00010000
17,fine_tune,0.37480807048933845,0.9714285714285714,0.5254428897585187,0.8214285714285714,0.00001000|0.00010000
18,fine_tune,0.3633257397583553,0.9714285714285714,0.5021974188940865,0.8571428571428571,0.00001000|0.00010000
19,fine_tune,0.3704759086881365,0.9714285714285714,0.5008382286344256,0.8571428571428571,0.00001000|0.00010000
20,fine_tune,0.397193614925657,0.9428571428571428,0.5059132916586739,0.8214285714285714,0.00001000|0.00010000
